ra,ano,fase_num,idade,genero,instituicao_padrao,ano_previsto,probabilidade_novo_risco,alerta_risco,probabilidade_risco_percentual
RA-1360,2024,0,8,Masculino,Pública,2025,0.8363444894083443,1,83.63
RA-1377,2024,0,8,Masculino,Pública,2025,0.8242471609410816,1,82.42
RA-1346,2024,0,8,Masculino,Pública,2025,0.8238463271985467,1,82.38
RA-1326,2024,0,8,Feminino,Pública,2025,0.8219925858888436,1,82.2
RA-1450,2024,1,9,Masculino,Pública,2025,0.813166144619296,1,81.32
RA-1356,2024,0,8,Feminino,Pública,2025,0.8128560716508406,1,81.29
RA-1358,2024,0,7,Feminino,Pública,2025,0.8123780511373643,1,81.24
RA-1446,2024,1,9,Masculino,Pública,2025,0.8115388485689503,1,81.15
RA-1372,2024,0,8,Feminino,Pública,2025,0.8069330131130922,1,80.69
RA-1359,2024,0,7,Feminino,Pública,2025,0.8042571748725489,1,80.43
RA-1302,2024,0,8,Masculino,Pública,2025,0.8040071032203352,1,80.4
RA-1313,2024,0,8,Masculino,Pública,2025,0.7973922012515294,1,79.74
RA-1307,2024,0,8,Masculino,Pública,2025,0.7808805903925301,1,78.09
RA-1329,2024,0,8,Masculino,Pública,2025,0.777945853538042,1,77.79
RA-1381,2024,0,8,Feminino,Pública,2025,0.77595241490885,1,77.6
RA-1340,2024,0,8,Feminino,Pública,2025,0.7733293141349924,1,77.33
RA-1321,2024,0,7,Masculino,Pública,2025,0.7715925871584055,1,77.16
RA-1363,2024,0,7,Feminino,Pública,2025,0.7686797928175733,1,76.87
RA-1330,2024,0,8,Feminino,Pública,2025,0.7661069223477999,1,76.61
RA-1325,2024,0,8,Masculino,Pública,2025,0.7652286534496697,1,76.52
RA-1367,2024,0,8,Feminino,Pública,2025,0.7632921468948802,1,76.33
RA-1311,2024,0,8,Masculino,Pública,2025,0.7524737744351699,1,75.25
RA-1298,2024,0,8,Masculino,Pública,2025,0.7512661275579746,1,75.13
RA-1389,2024,0,7,Feminino,Pública,2025,0.7501216125840403,1,75.01
RA-1275,2024,0,8,Masculino,Pública,2025,0.7495448922152355,1,74.95
RA-1343,2024,0,7,Feminino,Pública,2025,0.7492653136621441,1,74.93
RA-1391,2024,0,7,Masculino,Pública,2025,0.7489861711435855,1,74.9
RA-1362,2024,0,7,Masculino,Pública,2025,0.7457557184747271,1,74.58
RA-1368,2024,0,8,Masculino,Pública,2025,0.7446160820391707,1,74.46
RA-1327,2024,0,7,Feminino,Pública,2025,0.742425533684579,1,74.24
RA-1383,2024,0,8,Feminino,Pública,2025,0.7418637558465281,1,74.19
RA-1390,2024,0,7,Feminino,Pública,2025,0.737615660710888,1,73.76
RA-1393,2024,0,7,Feminino,Pública,2025,0.7357378761903806,1,73.57
RA-1286,2024,0,7,Masculino,Pública,2025,0.7354426178973199,1,73.54
RA-1309,2024,0,7,Feminino,Pública,2025,0.7344578733103773,1,73.45
RA-1314,2024,0,7,Feminino,Pública,2025,0.7344170021586797,1,73.44
RA-1530,2024,3,13,Masculino,Pública,2025,0.7328205519208467,1,73.28
RA-1322,2024,0,8,Feminino,Pública,2025,0.7326704504367698,1,73.27
RA-1400,2024,1,9,Masculino,Pública,2025,0.7310249211267708,1,73.1
RA-1331,2024,0,7,Feminino,Pública,2025,0.7215870854902623,1,72.16
RA-1277,2024,0,8,Masculino,Pública,2025,0.7215603378392349,1,72.16
RA-1315,2024,0,7,Masculino,Pública,2025,0.7201219220875991,1,72.01
RA-1276,2024,0,8,Feminino,Pública,2025,0.7200085347812388,1,72.0
RA-1344,2024,0,8,Feminino,Pública,2025,0.7120830350656078,1,71.21
RA-1369,2024,0,7,Feminino,Pública,2025,0.7097012191112332,1,70.97
RA-1395,2024,1,9,Feminino,Pública,2025,0.7095596374633366,1,70.96
RA-1595,2024,4,14,Masculino,Pública,2025,0.7088543971155962,1,70.89
RA-1404,2024,1,9,Feminino,Pública,2025,0.7057054226833899,1,70.57
RA-1380,2024,0,8,Masculino,Pública,2025,0.6986851335808328,1,69.87
RA-1288,2024,0,7,Feminino,Pública,2025,0.6979880847892485,1,69.8
RA-1361,2024,0,8,Feminino,Pública,2025,0.6964368537991408,1,69.64
RA-1460,2024,2,12,Masculino,Pública,2025,0.6936185195533052,1,69.36
RA-1497,2024,2,12,Feminino,Pública,2025,0.6910931206552554,1,69.11
RA-684,2024,1,9,Masculino,Privada,2025,0.6859534128314808,1,68.6
RA-1479,2024,2,12,Masculino,Pública,2025,0.6806497604948905,1,68.06
RA-1310,2024,0,7,Feminino,Pública,2025,0.6783651520433124,1,67.84
RA-1285,2024,0,7,Feminino,Pública,2025,0.6666966064604963,1,66.67
RA-1546,2024,3,14,Masculino,Pública,2025,0.6582128982024973,1,65.82
RA-876,2024,1,9,Masculino,Pública,2025,0.6568673627104182,1,65.69
RA-1496,2024,2,12,Feminino,Pública,2025,0.6555605007474086,1,65.56
RA-1552,2024,3,13,Masculino,Pública,2025,0.6549821013512002,1,65.5
RA-1435,2024,1,10,Masculino,Pública,2025,0.6533578291939968,1,65.34
RA-606,2024,2,11,Masculino,Pública,2025,0.6523278428114685,1,65.23
RA-923,2024,1,9,Feminino,Pública,2025,0.6505207800655214,1,65.05
RA-1441,2024,1,9,Masculino,Pública,2025,0.6439549364125615,1,64.4
RA-1015,2024,2,11,Feminino,Pública,2025,0.6434257422491868,1,64.34
RA-1095,2024,3,14,Masculino,Pública,2025,0.6432336615521633,1,64.32
RA-1295,2024,0,8,Feminino,Pública,2025,0.6393285216996607,1,63.93
RA-1181,2024,5,15,Feminino,Pública,2025,0.6348321436508481,1,63.48
RA-982,2024,1,8,Masculino,Pública,2025,0.6331868695344798,1,63.32
RA-980,2024,1,9,Feminino,Pública,2025,0.6328409628199819,1,63.28
RA-1284,2024,0,8,Feminino,Pública,2025,0.6294313974774064,1,62.94
RA-1588,2024,4,14,Feminino,Pública,2025,0.6286164208697635,1,62.86
RA-1478,2024,2,11,Masculino,Pública,2025,0.6258809449793571,1,62.59
RA-1060,2024,2,12,Masculino,Pública,2025,0.6249805409703171,1,62.5
RA-903,2024,1,9,Feminino,Pública,2025,0.624811697792871,1,62.48
RA-1500,2024,2,11,Masculino,Pública,2025,0.624774992064492,1,62.48
RA-1108,2024,3,13,Masculino,Pública,2025,0.6224000185861105,1,62.24
RA-715,2024,2,11,Feminino,Pública,2025,0.62183397720171,1,62.18
RA-1477,2024,2,11,Masculino,Pública,2025,0.6189200231286935,1,61.89
RA-1619,2024,5,15,Masculino,Pública,2025,0.6176814320098527,1,61.77
RA-369,2024,3,13,Masculino,Pública,2025,0.617150247402866,1,61.72
RA-789,2024,1,9,Feminino,Pública,2025,0.6118096252997363,1,61.18
